trial,event,t_us,target_pwm,rpm_left,duration_us
1,TRIAL_START,1031280,255,0.00,0
1,RPM_STABLE,1532043,255,300.00,0
1,LINE_DETECTED,1601315,255,300.00,14
1,RPM_ZERO,1896934,255,0.00,295619
1,RECOVERY_COMPLETE,2037127,255,90.00,435812
2,TRIAL_START,1031285,255,0.00,0
2,RPM_STABLE,1532135,255,300.00,0
2,LINE_DETECTED,1594547,255,270.00,15
2,RPM_ZERO,1947391,255,0.00,352844
2,RECOVERY_COMPLETE,2087557,255,120.00,493010
3,TRIAL_START,1031281,255,0.00,0
3,RPM_STABLE,1532136,255,300.00,0
3,LINE_DETECTED,1599126,255,300.00,15
3,RPM_ZERO,1997856,255,0.00,398730
3,RECOVERY_COMPLETE,2138033,255,90.00,538907
4,TRIAL_START,1031285,255,0.00,0
4,RPM_STABLE,1532205,255,270.00,0
4,LINE_DETECTED,1582939,255,270.00,15
4,RPM_ZERO,1897134,255,0.00,314195
4,RECOVERY_COMPLETE,2037326,255,90.00,454387
5,TRIAL_START,1031285,255,0.00,0
5,RPM_STABLE,1532061,255,270.00,0
5,LINE_DETECTED,1596786,255,300.00,15
5,RPM_ZERO,1947383,255,0.00,350597
5,RECOVERY_COMPLETE,2087546,255,90.00,490760
6,TRIAL_START,1031286,255,0.00,0
6,RPM_STABLE,1532205,255,270.00,0
6,LINE_DETECTED,1587472,255,270.00,15
6,RPM_ZERO,1846773,255,0.00,259301
6,RECOVERY_COMPLETE,1986942,255,90.00,399470
7,TRIAL_START,1031282,255,0.00,0
7,RPM_STABLE,1532107,255,270.00,0
7,LINE_DETECTED,1587395,255,300.00,15
7,RPM_ZERO,1897007,255,0.00,309612
7,RECOVERY_COMPLETE,2037211,255,90.00,449816
8,TRIAL_START,1031283,255,0.00,0
8,RPM_STABLE,1532177,255,270.00,0
8,LINE_DETECTED,1603730,255,300.00,14
8,RPM_ZERO,1947504,255,0.00,343774
8,RECOVERY_COMPLETE,2087683,255,120.00,483953
9,TRIAL_START,1031284,255,0.00,0
9,RPM_STABLE,1532169,255,300.00,0
9,LINE_DETECTED,1599145,255,300.00,24
9,RPM_ZERO,1947437,255,0.00,348292
9,RECOVERY_COMPLETE,2087608,255,120.00,488463
10,TRIAL_START,1031286,255,0.00,0
10,RPM_STABLE,1532094,255,270.00,0
10,LINE_DETECTED,1599087,255,300.00,15
10,RPM_ZERO,1897054,255,0.00,297967
10,RECOVERY_COMPLETE,2037274,255,60.00,438187
11,TRIAL_START,1031285,255,0.00,0
11,RPM_STABLE,1532091,255,270.00,0
11,LINE_DETECTED,1591945,255,270.00,14
11,RPM_ZERO,1897031,255,0.00,305086
11,RECOVERY_COMPLETE,2037227,255,60.00,445282
12,TRIAL_START,1031285,255,0.00,0
12,RPM_STABLE,1532132,255,270.00,0
12,LINE_DETECTED,1591942,255,270.00,15
12,RPM_ZERO,1947459,255,0.00,355517
12,RECOVERY_COMPLETE,2087667,255,90.00,495725
13,TRIAL_START,1031284,255,0.00,0
13,RPM_STABLE,1532131,255,270.00,0
13,LINE_DETECTED,1599119,255,270.00,15
13,RPM_ZERO,1947457,255,0.00,348338
13,RECOVERY_COMPLETE,2087663,255,120.00,488544
14,TRIAL_START,1031286,255,0.00,0
14,RPM_STABLE,1532090,255,300.00,0
14,LINE_DETECTED,1612764,255,300.00,15
14,RPM_ZERO,1897035,255,0.00,284271
14,RECOVERY_COMPLETE,2037227,255,90.00,424463
15,TRIAL_START,1031281,255,0.00,0
15,RPM_STABLE,1532032,255,270.00,0
15,LINE_DETECTED,1599007,255,270.00,15
15,RPM_ZERO,1896902,255,0.00,297895
15,RECOVERY_COMPLETE,2037089,255,120.00,438082
