trial,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
1,1039208,255,0.00,0,0,2333
1,1089713,255,60.00,2,255,2263
1,1140133,255,210.00,2,255,2266
1,1190553,255,180.00,2,255,2266
1,1240958,255,240.00,2,255,2265
1,1291380,255,240.00,2,255,2264
1,1341778,255,240.00,2,255,2262
1,1392174,255,270.00,2,255,2263
1,1442595,255,270.00,2,255,2262
1,1492999,255,300.00,2,255,2262
1,1543722,255,270.00,2,255,2264
1,1594145,255,300.00,2,255,2264
1,1644856,255,240.00,1,255,2266
1,1695272,255,90.00,1,255,2263
1,1745703,255,60.00,1,255,2264
1,1796109,255,60.00,1,255,2264
1,1846523,255,30.00,1,255,2259
1,1896934,255,0.00,1,255,2266
1,1947678,255,60.00,3,180,2264
1,1998090,255,90.00,3,180,2265
1,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
2,1039213,255,0.00,0,0,2333
2,1089729,255,90.00,2,255,2266
2,1140168,255,180.00,2,255,2273
2,1190588,255,210.00,2,255,2266
2,1240999,255,270.00,2,255,2266
2,1291421,255,240.00,2,255,2262
2,1341836,255,240.00,2,255,2263
2,1392240,255,270.00,2,255,2266
2,1442663,255,270.00,2,255,2266
2,1493082,255,300.00,2,255,2265
2,1543819,255,300.00,2,255,2268
2,1594212,255,270.00,2,255,2263
2,1644932,255,210.00,1,255,2265
2,1695352,255,120.00,1,255,2265
2,1745760,255,90.00,1,255,2261
2,1796146,255,60.00,1,255,2265
2,1846559,255,30.00,1,255,2262
2,1896970,255,30.00,1,255,2264
2,1947391,255,0.00,1,255,2266
2,1998109,255,30.00,3,180,2263
2,2048535,255,120.00,3,180,2263
2,t_us,target_pwm,rpm_left,motor_command,motor_pwm,loop_us
3,1039212,255,0.00,0,0,2336
3,1089717,255,90.00,2,255,2264
3,1140130,255,180.00,2,255,2268
3,1190556,255,210.00,2,255,2265
3,1240980,255,270.00,2,255,2264
3,1291415,255,210.00,2,255,2266
3,1341835,255,240.00,2,255,2267
3,1392279,255,300.00,2,255,2273
3,1442691,255,240.00,2,255,2264
3,1493108,255,300.00,2,255,2265
